# Step Time(s) Pxy(Pa) Pxz(Pa) Pyz(Pa)
189 3.780000e-13 -1.993720e+53 -2.053061e+53 2.107621e+53
190 3.800000e-13 -1.977802e+53 -2.036670e+53 2.090794e+53
191 3.820000e-13 -1.962011e+53 -2.020409e+53 2.074101e+53
192 3.840000e-13 -1.946347e+53 -2.004278e+53 2.057542e+53
193 3.860000e-13 -1.930807e+53 -1.988276e+53 2.041114e+53
194 3.880000e-13 -1.915392e+53 -1.972401e+53 2.024818e+53
195 3.900000e-13 -1.900099e+53 -1.956654e+53 2.008652e+53
196 3.920000e-13 -1.884929e+53 -1.941032e+53 1.992615e+53
197 3.940000e-13 -1.869879e+53 -1.925535e+53 1.976706e+53
198 3.960000e-13 -1.854950e+53 -1.910161e+53 1.960924e+53
199 3.980000e-13 -1.840140e+53 -1.894910e+53 1.945268e+53
200 4.000000e-13 -1.825449e+53 -1.879781e+53 1.929737e+53
201 4.020000e-13 -1.810874e+53 -1.864773e+53 1.914330e+53
202 4.040000e-13 -1.796416e+53 -1.849885e+53 1.899046e+53
203 4.060000e-13 -1.782074e+53 -1.835115e+53 1.883884e+53
204 4.080000e-13 -1.767846e+53 -1.820464e+53 1.868843e+53
205 4.100000e-13 -1.753731e+53 -1.805929e+53 1.853922e+53
206 4.120000e-13 -1.739729e+53 -1.791511e+53 1.839120e+53
207 4.140000e-13 -1.725839e+53 -1.777207e+53 1.824437e+53
208 4.160000e-13 -1.712060e+53 -1.763018e+53 1.809870e+53
209 4.180000e-13 -1.698391e+53 -1.748942e+53 1.795420e+53
210 4.200000e-13 -1.684831e+53 -1.734979e+53 1.781086e+53
211 4.220000e-13 -1.671380e+53 -1.721126e+53 1.766865e+53
212 4.240000e-13 -1.658035e+53 -1.707385e+53 1.752759e+53
213 4.260000e-13 -1.644797e+53 -1.693753e+53 1.738765e+53
214 4.280000e-13 -1.631665e+53 -1.680230e+53 1.724883e+53
215 4.300000e-13 -1.618638e+53 -1.666815e+53 1.711111e+53
216 4.320000e-13 -1.605715e+53 -1.653507e+53 1.697450e+53
217 4.340000e-13 -1.592895e+53 -1.640306e+53 1.683897e+53
218 4.360000e-13 -1.580177e+53 -1.627210e+53 1.670453e+53
219 4.380000e-13 -1.567561e+53 -1.614218e+53 1.657116e+53
220 4.400000e-13 -1.555046e+53 -1.601330e+53 1.643886e+53
221 4.420000e-13 -1.542630e+53 -1.588545e+53 1.630761e+53
222 4.440000e-13 -1.530314e+53 -1.575862e+53 1.617741e+53
223 4.460000e-13 -1.518096e+53 -1.563280e+53 1.604825e+53
224 4.480000e-13 -1.505975e+53 -1.550799e+53 1.592012e+53
225 4.500000e-13 -1.493952e+53 -1.538418e+53 1.579301e+53
226 4.520000e-13 -1.482024e+53 -1.526135e+53 1.566692e+53
227 4.540000e-13 -1.470192e+53 -1.513950e+53 1.554184e+53
228 4.560000e-13 -1.458454e+53 -1.501863e+53 1.541775e+53
229 4.580000e-13 -1.446809e+53 -1.489872e+53 1.529465e+53
230 4.600000e-13 -1.435258e+53 -1.477977e+53 1.517254e+53
231 4.620000e-13 -1.423799e+53 -1.466177e+53 1.505140e+53
232 4.640000e-13 -1.412431e+53 -1.454471e+53 1.493123e+53
233 4.660000e-13 -1.401154e+53 -1.442858e+53 1.481202e+53
234 4.680000e-13 -1.389968e+53 -1.431338e+53 1.469376e+53
235 4.700000e-13 -1.378870e+53 -1.419911e+53 1.457645e+53
236 4.720000e-13 -1.367861e+53 -1.408574e+53 1.446007e+53
237 4.740000e-13 -1.356940e+53 -1.397328e+53 1.434462e+53
238 4.760000e-13 -1.346106e+53 -1.386172e+53 1.423009e+53
239 4.780000e-13 -1.335359e+53 -1.375105e+53 1.411648e+53
240 4.800000e-13 -1.324697e+53 -1.364126e+53 1.400377e+53
241 4.820000e-13 -1.314121e+53 -1.353235e+53 1.389197e+53
242 4.840000e-13 -1.303629e+53 -1.342430e+53 1.378106e+53
243 4.860000e-13 -1.293221e+53 -1.331712e+53 1.367103e+53
244 4.880000e-13 -1.282896e+53 -1.321080e+53 1.356188e+53
245 4.900000e-13 -1.272653e+53 -1.310532e+53 1.345360e+53
246 4.920000e-13 -1.262492e+53 -1.300069e+53 1.334619e+53
247 4.940000e-13 -1.252413e+53 -1.289689e+53 1.323963e+53
248 4.960000e-13 -1.242413e+53 -1.279393e+53 1.313392e+53
249 4.980000e-13 -1.232494e+53 -1.269178e+53 1.302906e+53
250 5.000000e-13 -1.222654e+53 -1.259045e+53 1.292504e+53
251 5.020000e-13 -1.212892e+53 -1.248993e+53 1.282185e+53
252 5.040000e-13 -1.203208e+53 -1.239021e+53 1.271948e+53
253 5.060000e-13 -1.193602e+53 -1.229128e+53 1.261792e+53
254 5.080000e-13 -1.184072e+53 -1.219315e+53 1.251718e+53
255 5.100000e-13 -1.174619e+53 -1.209580e+53 1.241725e+53
256 5.120000e-13 -1.165240e+53 -1.199923e+53 1.231811e+53
257 5.140000e-13 -1.155937e+53 -1.190342e+53 1.221976e+53
258 5.160000e-13 -1.146708e+53 -1.180839e+53 1.212220e+53
259 5.180000e-13 -1.137553e+53 -1.171411e+53 1.202541e+53
260 5.200000e-13 -1.128471e+53 -1.162058e+53 1.192940e+53
261 5.220000e-13 -1.119461e+53 -1.152781e+53 1.183416e+53
262 5.240000e-13 -1.110523e+53 -1.143577e+53 1.173967e+53
263 5.260000e-13 -1.101657e+53 -1.134446e+53 1.164594e+53
264 5.280000e-13 -1.092861e+53 -1.125389e+53 1.155296e+53
265 5.300000e-13 -1.084136e+53 -1.116404e+53 1.146072e+53
266 5.320000e-13 -1.075480e+53 -1.107490e+53 1.136922e+53
267 5.340000e-13 -1.066893e+53 -1.098648e+53 1.127845e+53
268 5.360000e-13 -1.058375e+53 -1.089877e+53 1.118840e+53
269 5.380000e-13 -1.049925e+53 -1.081175e+53 1.109907e+53
270 5.400000e-13 -1.041543e+53 -1.072543e+53 1.101046e+53
271 5.420000e-13 -1.033227e+53 -1.063980e+53 1.092255e+53
272 5.440000e-13 -1.024978e+53 -1.055485e+53 1.083535e+53
273 5.460000e-13 -1.016794e+53 -1.047058e+53 1.074884e+53
274 5.480000e-13 -1.008676e+53 -1.038698e+53 1.066302e+53
275 5.500000e-13 -1.000623e+53 -1.030405e+53 1.057788e+53
276 5.520000e-13 -9.926338e+52 -1.022179e+53 1.049343e+53
277 5.540000e-13 -9.847087e+52 -1.014018e+53 1.040965e+53
278 5.560000e-13 -9.768467e+52 -1.005922e+53 1.032654e+53
279 5.580000e-13 -9.690476e+52 -9.978903e+52 1.024409e+53
280 5.600000e-13 -9.613107e+52 -9.899232e+52 1.016230e+53
281 5.620000e-13 -9.536356e+52 -9.820196e+52 1.008117e+53
282 5.640000e-13 -9.460218e+52 -9.741792e+52 1.000068e+53
283 5.660000e-13 -9.384688e+52 -9.664013e+52 9.920835e+52
284 5.680000e-13 -9.309760e+52 -9.586856e+52 9.841627e+52
285 5.700000e-13 -9.235431e+52 -9.510314e+52 9.763051e+52
286 5.720000e-13 -9.161695e+52 -9.434384e+52 9.685103e+52
287 5.740000e-13 -9.088548e+52 -9.359060e+52 9.607777e+52
288 5.760000e-13 -9.015985e+52 -9.284337e+52 9.531069e+52
289 5.780000e-13 -8.944002e+52 -9.210211e+52 9.454973e+52
290 5.800000e-13 -8.872593e+52 -9.136677e+52 9.379484e+52
291 5.820000e-13 -8.801754e+52 -9.063729e+52 9.304598e+52
292 5.840000e-13 -8.731481e+52 -8.991365e+52 9.230311e+52
293 5.860000e-13 -8.661769e+52 -8.919577e+52 9.156616e+52
294 5.880000e-13 -8.592613e+52 -8.848364e+52 9.083509e+52
295 5.900000e-13 -8.524010e+52 -8.777718e+52 9.010987e+52
296 5.920000e-13 -8.455954e+52 -8.707637e+52 8.939043e+52
297 5.940000e-13 -8.388442e+52 -8.638115e+52 8.867674e+52
298 5.960000e-13 -8.321468e+52 -8.569148e+52 8.796874e+52
299 5.980000e-13 -8.255030e+52 -8.500732e+52 8.726640e+52
300 6.000000e-13 -8.189122e+52 -8.432863e+52 8.656966e+52
301 6.020000e-13 -8.123740e+52 -8.365535e+52 8.587849e+52
302 6.040000e-13 -8.058880e+52 -8.298744e+52 8.519284e+52
303 6.060000e-13 -7.994538e+52 -8.232487e+52 8.451266e+52
304 6.080000e-13 -7.930709e+52 -8.166759e+52 8.383791e+52
305 6.100000e-13 -7.867390e+52 -8.101555e+52 8.316855e+52
306 6.120000e-13 -7.804577e+52 -8.036873e+52 8.250453e+52
307 6.140000e-13 -7.742266e+52 -7.972706e+52 8.184581e+52
308 6.160000e-13 -7.680451e+52 -7.909052e+52 8.119236e+52
309 6.180000e-13 -7.619131e+52 -7.845906e+52 8.054412e+52
310 6.200000e-13 -7.558299e+52 -7.783264e+52 7.990105e+52
311 6.220000e-13 -7.497954e+52 -7.721123e+52 7.926312e+52
312 6.240000e-13 -7.438090e+52 -7.659477e+52 7.863029e+52
313 6.260000e-13 -7.378705e+52 -7.598324e+52 7.800250e+52
314 6.280000e-13 -7.319793e+52 -7.537659e+52 7.737973e+52
315 6.300000e-13 -7.261352e+52 -7.477479e+52 7.676193e+52
316 6.320000e-13 -7.203377e+52 -7.417778e+52 7.614906e+52
317 6.340000e-13 -7.145865e+52 -7.358555e+52 7.554109e+52
318 6.360000e-13 -7.088813e+52 -7.299804e+52 7.493797e+52
319 6.380000e-13 -7.032216e+52 -7.241522e+52 7.433966e+52
320 6.400000e-13 -6.973278e+52 -7.186635e+52 7.374034e+52
321 6.420000e-13 -6.909293e+52 -7.137973e+52 7.313434e+52
322 6.440000e-13 -6.854130e+52 -7.080983e+52 7.255043e+52
323 6.460000e-13 -6.799406e+52 -7.024449e+52 7.197119e+52
324 6.480000e-13 -6.745120e+52 -6.968366e+52 7.139657e+52
325 6.500000e-13 -6.691267e+52 -6.912730e+52 7.082654e+52
326 6.520000e-13 -6.637844e+52 -6.857539e+52 7.026106e+52
327 6.540000e-13 -6.584847e+52 -6.802788e+52 6.970010e+52
328 6.560000e-13 -6.532274e+52 -6.748475e+52 6.914361e+52
329 6.580000e-13 -6.480120e+52 -6.694595e+52 6.859157e+52
330 6.600000e-13 -6.428383e+52 -6.641145e+52 6.804394e+52
331 6.620000e-13 -6.377059e+52 -6.588123e+52 6.750067e+52
332 6.640000e-13 -6.326144e+52 -6.535523e+52 6.696175e+52
333 6.660000e-13 -6.275636e+52 -6.483343e+52 6.642713e+52
334 6.680000e-13 -6.225531e+52 -6.431580e+52 6.589677e+52
335 6.700000e-13 -6.175827e+52 -6.380231e+52 6.537065e+52
336 6.720000e-13 -6.126519e+52 -6.329291e+52 6.484873e+52
337 6.740000e-13 -6.077605e+52 -6.278758e+52 6.433098e+52
338 6.760000e-13 -6.029081e+52 -6.228628e+52 6.381736e+52
339 6.780000e-13 -5.980945e+52 -6.178899e+52 6.330784e+52
340 6.800000e-13 -5.933193e+52 -6.129567e+52 6.280239e+52
341 6.820000e-13 -5.885823e+52 -6.080628e+52 6.230098e+52
342 6.840000e-13 -5.838830e+52 -6.032080e+52 6.180357e+52
343 6.860000e-13 -5.792213e+52 -5.983920e+52 6.131013e+52
344 6.880000e-13 -5.745968e+52 -5.936145e+52 6.082063e+52
345 6.900000e-13 -5.700092e+52 -5.888750e+52 6.033504e+52
346 6.920000e-13 -5.654583e+52 -5.841735e+52 5.985332e+52
347 6.940000e-13 -5.609436e+52 -5.795094e+52 5.937545e+52
348 6.960000e-13 -5.564651e+52 -5.748826e+52 5.890140e+52
349 6.980000e-13 -5.520223e+52 -5.702928e+52 5.843113e+52
350 7.000000e-13 -5.476149e+52 -5.657395e+52 5.796462e+52
351 7.020000e-13 -5.432427e+52 -5.612227e+52 5.750183e+52
352 7.040000e-13 -5.389055e+52 -5.567419e+52 5.704273e+52
353 7.060000e-13 -5.346029e+52 -5.522968e+52 5.658730e+52
354 7.080000e-13 -5.303346e+52 -5.478873e+52 5.613551e+52
355 7.100000e-13 -5.261004e+52 -5.435130e+52 5.568732e+52
356 7.120000e-13 -5.219000e+52 -5.391736e+52 5.524272e+52
357 7.140000e-13 -5.177332e+52 -5.348688e+52 5.480166e+52
358 7.160000e-13 -5.135996e+52 -5.305984e+52 5.436412e+52
359 7.180000e-13 -5.094990e+52 -5.263621e+52 5.393008e+52
360 7.200000e-13 -5.054312e+52 -5.221596e+52 5.349950e+52
361 7.220000e-13 -5.013958e+52 -5.179907e+52 5.307236e+52
362 7.240000e-13 -4.973927e+52 -5.138551e+52 5.264863e+52
363 7.260000e-13 -4.934215e+52 -5.097525e+52 5.222828e+52
364 7.280000e-13 -4.894820e+52 -5.056826e+52 5.181129e+52
365 7.300000e-13 -4.873800e+52 -4.982165e+52 5.018468e+52
366 7.320000e-13 -4.888636e+52 -4.840345e+52 4.617422e+52
367 7.340000e-13 -4.849605e+52 -4.801700e+52 4.580556e+52
368 7.360000e-13 -4.810886e+52 -4.763363e+52 4.543985e+52
369 7.380000e-13 -4.772476e+52 -4.725332e+52 4.507706e+52
370 7.400000e-13 -4.734373e+52 -4.687605e+52 4.471717e+52
371 7.420000e-13 -4.696573e+52 -4.650179e+52 4.436014e+52
372 7.440000e-13 -4.659076e+52 -4.613052e+52 4.400597e+52
373 7.460000e-13 -4.621878e+52 -4.576222e+52 4.365463e+52
374 7.480000e-13 -4.584977e+52 -4.539685e+52 4.330609e+52
375 7.500000e-13 -4.548370e+52 -4.503440e+52 4.296033e+52
376 7.520000e-13 -4.512056e+52 -4.467485e+52 4.261734e+52
377 7.540000e-13 -4.476032e+52 -4.431816e+52 4.227708e+52
378 7.560000e-13 -4.440295e+52 -4.396433e+52 4.193954e+52
379 7.580000e-13 -4.404844e+52 -4.361332e+52 4.160470e+52
380 7.600000e-13 -4.369676e+52 -4.326511e+52 4.127252e+52
381 7.620000e-13 -4.334788e+52 -4.291968e+52 4.094300e+52
382 7.640000e-13 -4.300179e+52 -4.257701e+52 4.061612e+52
383 7.660000e-13 -4.265847e+52 -4.223707e+52 4.029184e+52
384 7.680000e-13 -4.231788e+52 -4.189985e+52 3.997015e+52
385 7.700000e-13 -4.198002e+52 -4.156532e+52 3.965103e+52
386 7.720000e-13 -4.164485e+52 -4.123347e+52 3.933445e+52
387 7.740000e-13 -4.131235e+52 -4.090426e+52 3.902041e+52
388 7.760000e-13 -4.098252e+52 -4.057768e+52 3.870887e+52
